parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
e7f6b608-2ce5-4b16-94f7-78cf81481463,1899: Season 1,1899,51800000,1899,100,https://www.imdb.com/title/tt9319668/,"Drama, Horror, Mystery",TV Series,7.3,106K,1,9,35,6,1,1,5,2,2,1,1,9,8,7,35,25,7,42,15,11,5,12,20
244731df-d388-440b-bbcf-72375ac84255,1983: Season 1,1983,1800000,1983,100,https://www.imdb.com/title/tt7371666/,"Crime, Drama, Thriller",TV Series,6.7,4.1K,4,5,135,7,2,6,3,2,,1,1,13,32,19,48,49,16,114,20,18,5,1,46
542425ae-8e1a-42b3-9fee-5fc46c4c3dac,The Night Agent: Season 1,The Night Agent,812100000,The Night Agent,100,https://www.imdb.com/title/tt13918776/,"Action, Drama, Thriller",TV Series,7.5,105K,5,14,121,18,1,4,4,1,3,1,1,7,3,14,29,23,26,38,12,15,12,3,45
b6aa48be-7a4b-4d44-b697-cd7487615bd1,Wednesday: Season 1,Wednesday,507700000,Wednesday,100,https://www.imdb.com/title/tt13443470/,"Comedy, Crime, Fantasy",TV Series,8.1,350K,3,8,60,17,2,2,3,3,6,3,2,49,7,20,51,40,27,60,34,22,24,3,72
75da7b10-dd49-4be0-9f25-f868c06bdedb,You: Season 4,You,766300000,You,100,https://www.imdb.com/title/tt7335184/,"Crime, Drama, Romance",TV Series,7.7,294K,20,30,263,34,1,8,11,5,9,4,5,27,11,38,145,75,50,128,35,43,16,10,136
4adfa866-2984-44e7-ad09-0725cccd2f7f,Queen Charlotte: A Bridgerton Story,Queen Charlotte: A Bridgerton Story,503000000,Queen Charlotte: A Bridgerton Story,97.14,https://www.imdb.com/title/tt14661396/,"Drama, History, Romance",TV Mini Series,7.4,52K,1,6,66,13,1,1,4,2,4,2,2,30,4,17,49,18,,40,62,8,15,6,44
dfef8ae7-82a2-4500-852c-ba3d4641d3d8,The Glory: Season 1 // 더 글로리: 시즌 1,The Glory,622800000,The Glory,100,https://www.imdb.com/title/tt21344706/,"Drama, Mystery, Thriller",TV Series,8.1,26K,1,3,99,4,1,1,,,,,,,,,,12,,,,,,,3
1f8adcbe-fd34-4535-b768-a2593de7cdc8,Ginny & Georgia: Season 2,Ginny & Georgia,967200000,Ginny & Georgia,100,https://www.imdb.com/title/tt10813940/,"Comedy, Drama",TV Series,7.5,79K,10,19,177,22,2,2,6,3,3,1,2,12,3,18,23,37,25,34,37,12,19,4,43
91f28843-eac0-4b21-9b20-75e51e6c8268,Manifest: Season 4,Manifest,581900000,Manifest,100,https://www.imdb.com/title/tt8421350/,"Drama, Mystery, Sci-Fi",TV Series,7.1,90K,33,28,483,22,1,6,8,3,9,5,2,33,9,24,116,64,93,142,45,38,7,9,159
6e86d3a4-d930-44eb-9b98-a92b5cb196a6,FUBAR: Season 1,FUBAR,266200000,Fubar,100,https://www.imdb.com/title/tt13064902/,"Action, Adventure, Comedy",TV Series,6.5,36K,4,11,77,15,1,3,4,3,,1,1,9,5,7,16,22,53,40,6,9,12,4,36
